;Coffee;Coffee_late;Exercise;Exercise late;Phone activity;Noise;Relaxed;Sleep Score
0;1;1;1;1;1;-1;1;81
1;-1;0;1;1;1;1;-1;49
2;1;-1;1;-1;1;1;-1;100
3;1;1;-1;0;1;1;-1;29
4;1;1;1;1;1;1;1;73
5;-1;0;1;1;1;-1;-1;89
6;1;1;-1;0;-1;1;-1;84
7;1;-1;1;1;1;-1;-1;100
8;-1;0;-1;0;-1;1;1;100
9;-1;0;1;1;-1;-1;1;100
10;1;-1;-1;0;-1;1;-1;100
11;-1;0;-1;0;1;-1;1;80
12;-1;0;1;1;1;-1;1;100
13;1;1;1;1;-1;1;-1;90
14;1;1;-1;0;-1;1;-1;86
15;1;1;1;-1;-1;1;-1;89
16;1;1;1;1;-1;1;-1;97
17;-1;0;1;1;1;1;1;100
18;-1;0;1;-1;-1;1;-1;100
19;1;1;1;1;1;-1;-1;62
20;1;1;-1;0;1;1;-1;40
21;-1;0;-1;0;1;1;-1;59
22;1;1;1;-1;1;1;1;72
23;-1;0;-1;0;-1;1;-1;100
24;1;-1;-1;0;-1;1;-1;100
25;-1;0;-1;0;1;1;1;72
26;1;-1;-1;0;1;-1;-1;100
27;1;1;1;1;1;-1;1;83
28;-1;0;-1;0;1;1;-1;42
29;-1;0;1;1;-1;-1;-1;100
30;-1;0;-1;0;-1;1;-1;100
31;-1;0;1;-1;1;1;1;90
32;-1;0;1;1;1;-1;1;99
33;1;-1;1;-1;-1;-1;1;100
34;-1;0;-1;0;-1;1;-1;100
35;1;1;1;1;-1;1;-1;93
36;-1;0;1;-1;1;-1;1;100
37;-1;0;-1;0;-1;1;1;100
38;1;1;1;1;1;1;1;59
39;1;-1;-1;0;1;1;1;56
40;1;1;1;1;-1;1;-1;82
41;-1;0;-1;0;1;1;-1;64
42;1;-1;1;-1;1;-1;1;100
43;1;1;1;-1;-1;-1;1;100
44;-1;0;-1;0;-1;-1;1;100
45;1;1;1;1;-1;1;1;92
46;1;-1;1;1;-1;1;-1;100
47;-1;0;1;1;1;1;-1;60
48;1;-1;1;1;-1;-1;-1;100
49;1;1;1;1;-1;-1;-1;99
50;-1;0;1;1;-1;-1;1;100
51;1;-1;1;-1;-1;-1;1;100
52;1;1;1;1;1;-1;1;68
53;-1;0;-1;0;1;1;-1;59
54;1;-1;1;-1;1;1;-1;100
55;-1;0;-1;0;1;-1;-1;84
56;-1;0;-1;0;-1;-1;-1;100
57;-1;0;-1;0;1;1;-1;39
58;1;-1;-1;0;-1;-1;1;100
59;1;1;-1;0;-1;-1;1;100
60;-1;0;1;-1;-1;-1;-1;100
61;1;1;1;1;-1;1;1;100
62;1;1;-1;0;1;-1;1;60
63;1;-1;1;1;1;-1;-1;95
64;1;1;-1;0;1;-1;1;85
65;-1;0;1;-1;-1;1;-1;100
66;1;-1;1;1;-1;-1;-1;100
67;1;1;-1;0;1;-1;-1;80
68;1;-1;-1;0;-1;1;1;100
69;1;1;1;-1;1;1;1;57
70;-1;0;-1;0;1;-1;1;85
71;1;-1;1;-1;-1;-1;1;100
72;-1;0;1;1;-1;-1;-1;100
73;-1;0;-1;0;1;-1;-1;69
74;-1;0;-1;0;1;-1;-1;67
75;1;1;1;-1;1;1;1;69
76;-1;0;-1;0;-1;-1;-1;100
77;-1;0;1;-1;-1;1;-1;100
78;1;1;1;-1;1;-1;1;89
79;-1;0;-1;0;1;-1;1;90
80;-1;0;1;-1;1;-1;1;100
81;-1;0;-1;0;-1;1;1;100
82;1;-1;1;1;1;1;1;95
83;-1;0;1;-1;-1;1;-1;97
84;1;1;1;-1;-1;1;1;100
85;1;-1;1;1;-1;1;1;100
86;1;-1;1;-1;1;1;-1;100
87;1;-1;-1;0;-1;1;-1;100
88;-1;0;-1;0;-1;-1;-1;100
89;1;-1;-1;0;-1;-1;-1;100
90;-1;0;1;-1;-1;1;1;100
91;1;1;1;1;1;-1;1;85
92;-1;0;1;-1;1;1;-1;73
93;1;1;1;1;1;-1;1;58
94;-1;0;1;1;1;1;1;92
95;1;1;1;-1;-1;1;-1;100
96;-1;0;-1;0;1;1;1;54
97;1;-1;-1;0;-1;1;-1;100
